annotation,sleep_count,duration,durationHr
sleep_quiet,0,24103.0,6.695277777777778
sleep_quiet,1,,
sleep_quiet,0,6303.0,1.7508333333333332
sleep_quiet,1,,
sleep_quiet,0,31284.0,8.69
sleep_quiet,1,,
sleep_quiet,0,36322.0,10.089444444444444
sleep_quiet,1,,
sleep_quiet,0,12946.0,3.596111111111111
sleep_quiet,1,,
sleep_quiet,0,21698.0,6.027222222222222
sleep_quiet,1,,
sleep_quiet,0,30740.0,8.53888888888889
sleep_quiet,1,,
sleep_quiet,0,1954.0,0.5427777777777778
sleep_quiet,1,,
sleep_quiet,0,37447.0,10.401944444444444
sleep_quiet,1,,
sleep_quiet,0,37554.0,10.431666666666667
sleep_quiet,1,,
sleep_quiet,0,26637.0,7.399166666666667
sleep_quiet,1,,
sleep_quiet,0,4298.0,1.193888888888889
sleep_quiet,1,,
sleep_quiet,0,32966.0,9.157222222222222
sleep_quiet,1,,
sleep_quiet,0,31709.0,8.808055555555555
sleep_quiet,1,,
sleep_quiet,0,2923.0,0.8119444444444445
sleep_quiet,1,,
sleep_quiet,0,16857.0,4.6825
sleep_quiet,1,,
sleep_quiet,0,15671.0,4.353055555555556
sleep_quiet,1,,
sleep_quiet,0,28706.0,7.973888888888889
sleep_quiet,1,,
sleep_quiet,0,6975.0,1.9375
sleep_quiet,1,,
sleep_quiet,0,11887.0,3.3019444444444446
sleep_quiet,1,,
sleep_quiet,0,22416.0,6.226666666666667
sleep_quiet,1,,
sleep_quiet,0,35229.0,9.785833333333333
sleep_quiet,1,,
sleep_quiet,0,37969.0,10.546944444444444
sleep_quiet,1,,
sleep_quiet,0,39255.0,10.904166666666667
sleep_quiet,1,,
sleep_quiet,0,31561.0,8.766944444444444
sleep_quiet,1,,
sleep_quiet,0,19968.0,5.546666666666667
sleep_quiet,1,,
sleep_quiet,0,9378.0,2.605
sleep_quiet,1,,
sleep_quiet,0,30473.0,8.464722222222223
sleep_quiet,1,,
sleep_quiet,0,5626.0,1.5627777777777778
sleep_quiet,1,,
sleep_quiet,0,6893.0,1.9147222222222222
sleep_quiet,1,,
sleep_quiet,0,17867.0,4.963055555555556
sleep_quiet,1,,
sleep_quiet,0,12434.0,3.453888888888889
sleep_quiet,1,,
